intern_id,attendance_rate,tasks_assigned,tasks_completed,task_completion_rate,avg_submission_delay_days,mentor_feedback_score,engagement_score,success
INT1104,0.78,4,2,0.62,0.19,7.96,5.74,1
INT1105,0.86,10,7,0.65,0.12,4.74,7.98,1
INT1106,1.0,10,8,0.85,1.79,9.48,4.99,1
INT1107,0.83,4,3,0.79,0.62,8.4,3.66,1
INT1108,0.84,8,8,1.0,1.94,7.72,8.42,1
INT1109,0.79,7,7,1.0,0.1,5.77,5.37,1
INT1110,0.51,7,6,0.92,0.57,7.58,7.76,1
INT1111,0.8,9,6,0.61,1.16,6.48,7.52,1
INT1112,0.81,7,5,0.65,2.35,4.03,5.94,1
INT1113,1.0,10,6,0.57,0.58,6.91,5.65,1
INT1114,0.77,6,5,0.8,1.47,6.72,5.22,1
INT1115,0.85,8,2,0.26,3.26,8.91,5.97,0
INT1116,0.79,7,5,0.67,1.44,2.98,7.73,0
INT1117,0.62,9,6,0.69,0.4,7.42,4.41,1
INT1118,0.97,10,5,0.48,0.04,4.92,6.22,1
INT1119,0.91,6,5,0.89,3.06,7.57,3.76,1
INT1120,0.92,5,3,0.54,0.03,7.67,4.01,1
INT1121,0.66,5,4,0.8,3.12,6.84,5.94,1
INT1122,1.0,6,6,1.0,1.13,8.45,2.08,1
INT1123,0.59,10,5,0.46,4.2,4.76,10.0,0
INT1124,0.89,9,7,0.72,2.41,8.99,3.61,1
INT1125,1.0,6,4,0.68,9.27,5.73,5.92,1
INT1126,0.65,8,5,0.64,0.65,4.2,8.34,0
INT1127,0.72,8,7,0.89,2.19,6.51,4.27,1
INT1128,0.81,5,5,0.95,0.77,3.23,1.39,1
INT1129,0.72,7,6,0.89,0.98,7.46,5.11,1
INT1130,0.57,9,6,0.62,1.48,6.53,4.25,1
INT1131,0.81,5,5,1.0,3.1,9.22,1.45,1
INT1132,0.64,7,3,0.43,6.21,8.17,6.57,0
INT1133,0.87,7,4,0.56,2.19,4.49,6.41,1
INT1134,0.66,8,6,0.78,0.81,5.49,8.28,1
INT1135,1.0,10,8,0.77,0.82,7.94,3.76,1
INT1136,0.68,4,3,0.84,2.01,8.52,2.8,1
INT1137,0.75,10,10,1.0,0.41,9.2,5.19,1
INT1138,0.92,4,3,0.73,0.18,9.19,5.82,1
INT1139,0.62,6,5,0.77,0.66,6.84,7.84,0
INT1140,0.83,8,5,0.64,0.51,7.65,8.82,1
INT1141,1.0,7,6,0.86,0.53,9.34,8.43,1
INT1142,0.56,9,6,0.69,0.4,6.45,6.55,1
INT1143,0.83,4,3,0.69,0.06,7.68,7.6,1
INT1144,0.84,10,8,0.85,0.03,6.41,4.72,1
INT1145,0.92,7,7,0.94,6.6,6.01,6.34,1
INT1146,0.61,4,1,0.35,0.84,7.09,3.62,0
INT1147,0.6,4,3,0.81,0.73,5.76,6.13,1
INT1148,0.88,4,3,0.7,1.71,6.76,6.18,1
INT1149,0.84,9,8,0.92,0.37,5.14,9.44,1
INT1150,0.84,8,6,0.7,4.49,6.66,5.54,1
INT1151,0.85,9,9,0.98,2.32,7.81,6.18,1
INT1152,0.7,5,3,0.63,0.14,5.94,6.47,1
INT1153,0.83,7,2,0.35,0.81,7.02,5.09,1
INT1154,0.84,8,8,0.94,3.17,7.25,4.4,1
INT1155,0.69,8,5,0.6,4.34,7.81,8.6,1
INT1156,1.0,8,4,0.47,0.94,6.76,4.04,1
INT1157,0.87,10,8,0.75,1.43,8.95,3.34,1
INT1158,0.62,8,6,0.71,0.27,3.22,7.36,1
INT1159,0.9,9,8,0.9,7.09,10.0,8.32,1
INT1160,0.65,8,7,0.91,0.4,5.43,5.1,1
INT1161,0.92,6,5,0.77,4.29,7.73,5.13,1
INT1162,0.97,7,4,0.59,1.57,5.31,6.57,1
INT1163,0.68,8,6,0.8,1.4,8.16,4.58,1
INT1164,0.94,7,5,0.78,1.08,7.5,4.44,1
INT1165,0.86,6,5,0.85,0.39,5.83,7.76,1
INT1166,0.92,6,4,0.59,0.29,8.93,7.21,1
INT1167,1.0,7,5,0.68,0.37,6.7,8.62,1
INT1168,0.76,4,3,0.84,0.31,7.98,3.49,1
INT1169,0.69,5,5,0.97,2.27,5.35,5.0,1
INT1170,0.67,10,9,0.92,0.65,6.94,6.56,1
INT1171,0.68,4,3,0.76,0.09,10.0,4.15,1
INT1172,0.79,4,3,0.66,5.22,8.73,7.28,1
INT1173,0.85,9,7,0.82,3.23,7.55,8.45,1
INT1174,0.84,10,6,0.55,3.94,6.19,4.83,1
INT1175,0.92,10,6,0.6,7.92,7.12,6.08,1
INT1176,0.8,4,4,1.0,0.29,7.36,8.91,1
INT1177,1.0,8,7,0.82,0.76,7.81,9.6,1
INT1178,0.76,9,6,0.69,2.13,5.06,7.49,1
INT1179,1.0,9,8,0.9,1.79,8.2,7.19,1
INT1180,0.89,6,6,0.98,0.25,5.04,4.29,1
INT1181,0.67,10,7,0.67,2.54,9.94,6.72,1
INT1182,0.64,4,3,0.67,0.38,5.61,7.11,0
INT1183,0.87,6,4,0.65,0.38,7.53,5.58,0
INT1184,0.77,7,6,0.92,1.15,8.81,4.81,1
INT1185,0.91,5,5,0.93,1.35,6.55,3.44,1
INT1186,0.87,9,9,1.0,1.3,7.61,2.52,1
INT1187,0.79,7,7,0.93,0.14,9.58,2.1,1
INT1188,0.67,7,3,0.46,3.15,8.02,7.16,0
INT1189,0.57,8,6,0.8,0.46,7.64,6.3,1
INT1190,0.73,5,3,0.56,0.21,3.97,5.03,0
INT1191,0.93,7,5,0.66,3.29,5.32,5.34,1
INT1192,0.83,7,5,0.78,4.67,8.88,6.42,1
INT1193,0.61,5,5,0.9,2.97,8.03,5.67,1
INT1194,0.83,5,3,0.59,2.49,8.3,3.32,1
INT1195,0.86,7,2,0.33,1.6,8.14,7.83,1
INT1196,0.67,5,4,0.78,1.2,9.32,6.61,1
INT1197,0.82,7,7,1.0,0.14,6.53,6.53,1
INT1198,0.81,7,5,0.71,0.79,7.22,7.68,1
INT1199,0.63,8,6,0.76,0.7,5.15,4.37,0
INT1200,0.85,4,4,1.0,0.45,4.7,8.43,1
INT1201,0.88,7,6,0.86,1.93,4.04,5.72,1
INT1202,0.96,6,5,0.79,1.03,5.41,7.78,1
INT1203,0.96,9,7,0.83,0.13,9.79,7.47,1
INT1204,0.59,10,8,0.8,0.37,4.21,3.92,0
INT1205,0.66,4,2,0.54,1.72,6.45,7.01,0
INT1206,0.88,4,2,0.51,0.12,4.67,6.65,0
INT1207,0.88,4,4,1.0,2.86,5.92,6.06,1
INT1208,0.88,8,6,0.78,1.03,7.31,5.81,1
INT1209,1.0,7,5,0.77,0.98,5.74,5.83,1
INT1210,0.89,8,6,0.73,1.35,8.96,7.63,1
INT1211,0.97,7,6,0.89,2.61,9.76,7.16,1
INT1212,0.94,8,8,1.0,0.64,2.95,6.06,1
INT1213,0.9,8,7,0.84,1.7,5.77,3.02,1
INT1214,0.75,9,6,0.64,1.25,7.11,6.99,1
INT1215,0.91,6,4,0.73,0.47,9.03,7.45,1
INT1216,0.68,8,8,0.94,3.16,6.18,10.0,1
INT1217,0.76,9,6,0.65,2.39,6.96,8.15,1
INT1218,0.73,5,5,0.9,1.61,4.92,2.2,0
INT1219,0.81,6,2,0.33,2.85,4.24,6.16,0
INT1220,1.0,8,6,0.71,3.03,9.6,9.62,1
INT1221,0.52,10,9,0.86,1.85,3.72,7.25,1
INT1222,0.9,4,4,0.98,2.72,10.0,6.66,1
INT1223,0.56,5,3,0.6,1.79,8.31,7.8,1
INT1224,0.73,5,2,0.48,1.71,8.22,4.76,1
INT1225,0.96,9,6,0.7,1.45,8.04,6.96,1
INT1226,0.81,5,3,0.55,2.1,6.55,5.5,0
INT1227,0.64,6,4,0.72,0.26,7.71,5.96,1
INT1228,0.69,8,6,0.75,3.19,6.66,7.66,1
INT1229,0.9,8,4,0.51,3.08,8.0,4.15,1
INT1230,0.69,10,9,0.89,0.04,6.94,8.58,1
INT1231,0.83,4,3,0.72,2.62,5.29,5.15,1
INT1232,0.81,9,9,0.94,0.21,5.43,6.52,1
INT1233,0.7,4,2,0.42,0.61,5.23,3.2,0
INT1234,1.0,5,3,0.57,2.04,8.75,7.44,1
INT1235,0.9,10,8,0.84,0.26,5.89,8.89,1
INT1236,0.5,4,2,0.61,2.56,3.56,4.97,0
INT1237,0.83,6,4,0.72,2.68,7.71,3.78,1
INT1238,0.7,8,6,0.75,1.06,9.73,6.56,1
INT1239,0.93,5,4,0.78,0.01,8.39,8.91,1
INT1240,0.68,10,6,0.63,0.51,5.91,3.1,0
INT1241,0.78,4,3,0.78,1.44,4.14,3.79,0
INT1242,0.88,9,5,0.61,5.96,6.76,5.09,1
INT1243,0.93,6,5,0.87,1.5,6.71,4.36,1
INT1244,0.62,6,4,0.73,0.45,5.26,4.37,1
INT1245,0.75,4,3,0.78,1.51,7.99,1.81,1
INT1246,0.73,8,8,1.0,1.16,10.0,7.18,1
INT1247,0.7,4,2,0.55,2.27,7.4,6.68,1
INT1248,1.0,5,5,1.0,0.17,7.29,2.6,1
INT1249,0.86,4,1,0.27,2.15,5.31,8.91,0
INT1250,0.61,6,2,0.38,1.17,9.52,9.36,0
INT1251,0.94,10,5,0.53,4.94,6.86,4.5,0
INT1252,1.0,4,2,0.54,0.63,5.96,8.33,1
INT1253,0.95,8,6,0.79,1.5,7.11,4.85,1
INT1254,0.57,10,8,0.8,4.03,7.85,6.36,1
INT1255,0.73,9,6,0.7,0.16,7.25,4.33,0
INT1256,0.99,7,5,0.72,4.15,9.17,10.0,1
INT1257,0.69,4,3,0.84,1.75,7.69,5.41,1
INT1258,0.87,8,7,0.9,0.11,6.49,6.25,1
INT1259,0.92,10,5,0.51,0.54,7.72,4.62,1
INT1260,0.66,8,5,0.68,1.85,7.9,9.72,1
INT1261,0.79,9,7,0.74,0.1,4.67,9.77,1
INT1262,0.31,6,5,0.84,1.31,9.07,9.26,1
INT1263,0.65,8,5,0.61,0.64,6.46,7.91,1
INT1264,0.76,10,7,0.73,1.45,6.5,4.75,1
INT1265,0.61,8,6,0.76,0.07,8.35,7.66,1
INT1266,1.0,8,5,0.62,3.08,8.34,5.99,1
INT1267,0.59,8,5,0.62,5.45,5.74,8.62,0
INT1268,0.73,5,4,0.77,5.2,8.45,8.23,1
INT1269,0.82,5,4,0.73,2.08,5.99,4.7,1
INT1270,1.0,6,5,0.84,0.21,10.0,7.9,1
INT1271,0.58,4,2,0.56,2.13,5.51,7.36,0
INT1272,0.97,8,5,0.69,0.04,7.43,0.45,1
INT1273,0.8,9,6,0.71,0.03,5.59,7.6,1
INT1274,0.65,4,4,0.9,0.59,10.0,5.14,1
INT1275,0.87,9,5,0.58,1.01,4.77,4.23,0
INT1276,0.83,4,3,0.79,2.21,7.94,4.31,1
INT1277,0.71,6,5,0.8,1.72,5.68,5.73,0
INT1278,0.81,8,8,1.0,0.89,6.36,6.96,1
INT1279,0.74,8,5,0.57,0.48,7.82,3.27,0
INT1280,0.82,7,4,0.63,8.78,9.2,6.38,1
INT1281,0.9,9,5,0.58,0.83,9.92,7.15,1
INT1282,1.0,4,2,0.45,0.9,4.23,9.72,1
INT1283,0.61,4,4,1.0,0.27,7.48,3.85,1
INT1284,1.0,5,3,0.53,2.38,9.63,5.3,1
INT1285,0.51,7,4,0.6,1.77,3.97,6.52,0
INT1286,0.78,10,10,0.99,0.37,7.57,8.29,1
INT1287,0.89,10,4,0.43,0.13,7.0,5.39,1
INT1288,0.84,5,4,0.89,1.71,7.75,8.4,1
INT1289,0.71,5,2,0.5,1.59,5.61,2.13,0
INT1290,0.77,5,5,0.97,0.48,4.42,3.49,1
INT1291,0.73,9,3,0.36,4.52,3.56,6.7,0
INT1292,0.71,9,4,0.43,0.25,8.76,3.18,1
INT1293,0.93,6,4,0.65,0.85,8.99,3.65,1
INT1294,0.85,6,6,0.92,4.31,7.54,4.94,1
INT1295,0.7,5,4,0.74,0.82,6.04,7.54,1
INT1296,0.93,7,5,0.69,1.53,4.08,2.21,1
INT1297,0.85,4,4,0.99,0.76,8.01,6.34,1
INT1298,0.92,9,9,1.0,0.48,5.02,8.07,1
INT1299,0.89,7,6,0.87,6.2,5.72,5.61,1
